age,height_cm,weight_kgs,overall_rating,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,region,position_attacker,position_midfielder,position_defender,position_goalkeeper
23.0,170.18,71.2,83,0,3,2,4,0,83,75,64.0,79.0,76,82.0,85,81,75.0,83.0,85.0,84.0,87.0,82.0,78.0,71.0,76.0,63.0,78,63,66,78,75.0,68,55,59,63,12,1,1,0,0
23.0,195.58,71.2,82,1,2,4,2,2,35,20,54.0,78.0,24,84.0,30,27,69.0,83.0,85.0,84.0,87.0,82.0,78.0,72.0,76.0,63.0,25,76,80,27,75.0,38,80,87,84,12,0,0,1,0
23.0,170.18,77.1,82,0,2,4,4,1,80,74,54.0,77.0,75,84.0,79,77,69.0,83.0,72.0,77.0,62.0,60.0,58.0,71.0,76.0,63.0,82,63,38,77,62.0,70,63,29,29,12,1,1,0,0
23.0,185.42,77.1,82,0,1,4,2,0,36,23,57.0,78.0,24,84.0,25,27,69.0,81.0,72.0,77.0,62.0,60.0,58.0,71.0,74.0,59.0,35,80,82,50,62.0,43,85,84,80,12,0,0,1,0
23.0,187.96,73.9,82,0,1,3,1,0,24,19,58.0,78.0,17,84.0,23,21,69.0,81.0,85.0,82.0,90.0,76.0,76.0,67.0,74.0,59.0,18,39,16,20,75.0,25,19,20,11,12,0,0,0,1
23.0,175.26,73.9,82,1,3,4,4,0,75,77,58.0,78.0,75,84.0,72,65,69.0,81.0,81.0,74.0,85.0,76.0,76.0,67.0,75.0,64.0,76,64,45,78,74.0,64,42,35,29,0,1,0,0,0
23.0,172.72,69.9,82,0,2,4,4,1,79,75,59.0,78.0,71,84.0,77,81,69.0,81.0,87.0,82.0,85.0,78.0,78.0,65.0,75.0,62.0,85,53,26,78,75.0,68,21,28,17,7,1,0,0,0
22.0,167.64,69.9,82,1,2,3,3,1,74,50,59.0,80.0,65,84.0,70,78,73.0,81.0,87.0,82.0,85.0,81.0,80.0,64.0,75.0,64.0,74,86,86,65,77.0,48,84,84,77,7,0,1,0,0
22.0,152.4,69.9,82,1,1,4,4,1,78,75,59.0,80.0,71,84.0,76,70,77.0,81.0,81.0,79.0,85.0,81.0,80.0,58.0,75.0,66.0,77,67,50,77,81.0,69,24,34,30,12,1,1,0,0
22.0,175.26,69.9,82,0,1,3,4,0,75,77,59.0,80.0,69,84.0,82,72,80.0,81.0,80.0,78.0,84.0,78.0,78.0,64.0,75.0,69.0,76,65,65,79,84.0,60,61,67,67,7,1,1,0,0
22.0,187.96,69.9,82,0,1,4,4,0,72,79,60.0,80.0,67,83.0,75,59,80.0,81.0,77.0,78.0,82.0,78.0,75.0,65.0,75.0,69.0,83,68,77,80,84.0,67,70,78,75,12,1,1,0,0
22.0,154.94,69.9,82,1,1,3,4,0,75,52,64.0,80.0,64,83.0,82,64,80.0,81.0,69.0,74.0,73.0,66.0,74.0,67.0,75.0,70.0,57,64,78,66,84.0,45,69,73,70,12,0,1,1,0
31.0,190.5,69.9,82,1,1,2,1,1,10,8,64.0,82.0,8,83.0,9,18,78.0,82.0,69.0,74.0,72.0,66.0,68.0,67.0,76.0,70.0,7,34,23,27,77.0,14,20,17,13,7,0,0,0,1
31.0,154.94,73.0,82,1,1,3,2,1,40,56,67.0,82.0,63,77.0,72,58,78.0,82.0,68.0,74.0,72.0,78.0,68.0,76.0,76.0,69.0,61,86,82,58,77.0,62,77,85,84,7,0,1,1,0
31.0,175.26,82.1,82,1,1,4,2,0,61,53,70.0,82.0,57,77.0,54,57,78.0,82.0,68.0,70.0,69.0,72.0,70.0,69.0,78.0,75.0,59,75,82,58,77.0,77,83,86,80,7,0,1,0,0
31.0,170.18,74.8,82,1,1,3,4,1,70,72,70.0,82.0,63,77.0,68,60,80.0,80.0,68.0,70.0,69.0,72.0,74.0,77.0,78.0,75.0,74,73,75,77,78.0,69,65,76,70,7,0,1,0,0
30.0,190.5,74.8,82,1,1,3,4,0,63,64,70.0,84.0,59,77.0,65,54,80.0,80.0,69.0,69.0,72.0,76.0,76.0,69.0,82.0,72.0,76,63,81,75,83.0,46,71,79,74,12,0,1,0,0
28.0,182.88,76.2,82,1,2,4,3,0,70,70,65.0,84.0,76,77.0,67,55,80.0,82.0,68.0,67.0,69.0,72.0,77.0,77.0,82.0,72.0,86,80,80,82,83.0,45,78,80,82,12,0,1,0,0
30.0,154.94,76.2,82,0,2,4,4,1,81,83,65.0,84.0,80,82.0,80,69,80.0,83.0,69.0,67.0,69.0,72.0,77.0,77.0,78.0,72.0,79,63,41,85,83.0,91,57,38,34,12,1,1,0,0
30.0,182.88,76.2,82,1,2,3,3,1,81,67,65.0,81.0,72,82.0,80,74,80.0,84.0,69.0,69.0,69.0,71.0,81.0,77.0,78.0,72.0,71,77,80,75,82.0,64,77,79,76,12,0,1,0,0
30.0,172.72,76.2,82,0,3,2,4,0,80,71,63.0,81.0,81,82.0,88,72,76.0,84.0,79.0,79.0,74.0,76.0,80.0,67.0,78.0,72.0,73,69,40,77,82.0,71,35,42,43,7,1,1,0,0
29.0,193.04,77.1,82,1,3,4,4,1,78,78,60.0,82.0,79,82.0,79,72,76.0,84.0,79.0,79.0,69.0,70.0,80.0,68.0,78.0,68.0,75,84,44,83,82.0,77,43,48,39,6,1,0,0,0
29.0,162.56,68.0,82,1,2,4,4,1,72,78,59.0,81.0,75,82.0,90,93,76.0,84.0,84.0,79.0,85.0,81.0,80.0,67.0,78.0,68.0,81,75,26,83,80.0,73,23,29,28,12,1,0,0,0
29.0,185.42,77.1,82,1,3,4,3,1,86,77,59.0,80.0,75,80.0,87,86,76.0,83.0,79.0,77.0,69.0,66.0,80.0,67.0,78.0,68.0,86,57,55,79,78.0,79,57,57,55,6,1,1,0,0
29.0,172.72,77.1,82,1,2,3,4,2,77,77,60.0,79.0,65,81.0,67,71,76.0,83.0,63.0,62.0,68.0,63.0,78.0,67.0,82.0,68.0,76,72,42,81,78.0,79,49,43,38,7,1,1,0,0
28.0,193.04,77.1,82,1,2,2,1,1,16,10,59.0,80.0,10,81.0,18,11,78.0,84.0,63.0,62.0,68.0,63.0,78.0,68.0,85.0,68.0,12,34,23,11,80.0,24,25,16,20,6,0,0,0,1
28.0,187.96,76.2,82,0,3,3,3,0,63,48,60.0,79.0,54,81.0,42,60,78.0,84.0,65.0,69.0,73.0,74.0,78.0,67.0,85.0,68.0,73,88,83,53,79.0,58,82,81,84,7,0,1,1,0
28.0,152.4,78.0,82,1,2,4,3,1,91,48,59.0,79.0,54,81.0,87,83,76.0,84.0,65.0,69.0,71.0,62.0,78.0,73.0,82.0,68.0,70,70,79,75,74.0,66,77,82,79,12,0,0,1,0
28.0,182.88,76.2,82,1,3,3,3,0,75,74,58.0,79.0,79,81.0,70,66,76.0,84.0,75.0,75.0,73.0,74.0,78.0,73.0,79.0,67.0,74,73,69,84,79.0,75,66,70,67,6,1,1,0,0
28.0,187.96,72.1,82,1,4,4,4,1,68,83,67.0,79.0,78,81.0,78,78,75.0,83.0,76.0,80.0,74.0,74.0,81.0,68.0,84.0,65.0,79,70,30,78,79.0,92,10,22,20,12,1,0,0,0
29.0,175.26,74.8,82,0,2,4,5,1,76,79,67.0,81.0,68,81.0,82,72,75.0,83.0,75.0,80.0,77.0,77.0,83.0,68.0,79.0,66.0,78,58,51,77,79.0,80,45,49,42,2,1,1,0,0
29.0,172.72,74.8,82,1,2,3,4,0,73,76,67.0,81.0,82,81.0,52,73,75.0,83.0,75.0,80.0,77.0,77.0,84.0,69.0,79.0,66.0,83,56,49,74,79.0,72,38,53,40,7,1,1,0,0
29.0,154.94,74.8,82,1,3,3,4,0,82,70,70.0,78.0,78,81.0,78,78,75.0,83.0,85.0,82.0,77.0,78.0,83.0,69.0,78.0,66.0,86,68,72,78,79.0,68,74,72,68,12,1,1,0,0
27.0,187.96,79.8,81,0,2,2,4,0,65,69,71.0,77.0,62,79.0,62,56,75.0,83.0,77.0,79.0,77.0,77.0,84.0,73.0,79.0,77.0,80,82,79,77,79.0,45,78,82,82,6,0,1,0,0
27.0,175.26,79.8,81,0,2,3,3,2,81,64,71.0,77.0,57,79.0,75,56,70.0,81.0,77.0,79.0,76.0,72.0,84.0,81.0,84.0,77.0,65,75,77,71,71.0,51,75,84,79,12,1,1,1,0
27.0,185.42,79.8,81,0,2,3,4,1,52,80,71.0,80.0,81,79.0,71,56,70.0,81.0,77.0,79.0,76.0,69.0,75.0,81.0,84.0,77.0,72,87,40,83,71.0,79,54,42,50,12,1,0,0,0
27.0,154.94,79.8,81,1,2,3,3,0,82,44,71.0,79.0,53,78.0,70,57,70.0,79.0,77.0,79.0,68.0,70.0,75.0,73.0,84.0,77.0,58,75,80,65,71.0,52,79,81,77,10,0,0,1,0
27.0,190.5,77.1,81,1,2,3,3,0,61,46,71.0,77.0,58,78.0,54,51,69.0,79.0,77.0,79.0,68.0,70.0,79.0,75.0,84.0,76.0,42,78,81,70,73.0,47,80,80,76,12,0,1,0,0
25.0,185.42,77.1,81,0,2,3,3,1,87,33,73.0,77.0,31,77.0,80,34,69.0,79.0,77.0,77.0,67.0,70.0,75.0,75.0,82.0,76.0,65,75,79,77,73.0,50,78,79,81,12,0,0,1,0
25.0,152.4,78.9,81,1,2,4,3,1,70,79,73.0,77.0,78,77.0,74,63,69.0,79.0,77.0,77.0,68.0,70.0,79.0,75.0,82.0,77.0,81,70,55,81,76.0,65,58,55,51,6,1,1,0,0
25.0,187.96,83.0,81,0,2,2,2,1,46,30,73.0,77.0,32,78.0,72,68,69.0,79.0,77.0,77.0,68.0,70.0,79.0,75.0,81.0,78.0,22,78,78,30,76.0,52,83,83,87,10,0,0,1,0
25.0,154.94,78.9,81,1,2,3,4,2,78,82,73.0,77.0,81,78.0,78,74,68.0,80.0,76.0,77.0,70.0,69.0,80.0,75.0,81.0,77.0,81,63,39,83,69.0,65,29,40,30,12,1,0,0,0
25.0,187.96,78.9,81,1,2,3,2,1,68,55,73.0,77.0,53,78.0,44,42,69.0,79.0,65.0,77.0,65.0,69.0,80.0,73.0,77.0,78.0,46,69,80,55,69.0,67,83,84,77,12,0,1,1,0
25.0,154.94,77.1,81,0,1,4,4,0,61,78,73.0,77.0,79,78.0,69,56,71.0,80.0,76.0,70.0,70.0,69.0,80.0,72.0,77.0,77.0,77,55,40,83,77.0,75,43,41,41,12,1,0,0,0
25.0,182.88,76.2,81,1,2,3,3,0,68,73,66.0,80.0,68,78.0,41,42,74.0,80.0,76.0,70.0,70.0,69.0,79.0,72.0,77.0,74.0,75,78,82,73,76.0,54,79,83,75,12,0,1,0,0
25.0,170.18,71.2,81,0,3,2,4,1,85,75,64.0,80.0,79,83.0,84,82,76.0,80.0,82.0,79.0,82.0,77.0,79.0,72.0,74.0,60.0,82,69,84,77,77.0,44,67,70,77,12,1,1,1,0
25.0,175.26,71.2,81,1,3,4,3,0,81,62,57.0,80.0,56,83.0,78,45,76.0,81.0,82.0,84.0,82.0,78.0,79.0,63.0,77.0,60.0,62,75,81,75,79.0,60,76,83,76,12,1,1,1,0
24.0,182.88,71.2,81,0,2,2,4,0,80,76,55.0,80.0,58,83.0,78,75,76.0,81.0,85.0,86.0,83.0,78.0,79.0,63.0,78.0,60.0,72,48,50,80,80.0,59,45,43,25,12,1,1,0,0
23.0,185.42,73.0,81,1,2,4,4,0,77,77,52.0,80.0,66,83.0,72,59,68.0,81.0,88.0,87.0,82.0,78.0,78.0,68.0,74.0,61.0,78,42,29,78,80.0,54,38,20,24,12,1,1,0,0
22.0,182.88,78.0,80,0,1,3,4,0,69,80,55.0,76.0,68,83.0,79,65,63.0,81.0,85.0,86.0,82.0,78.0,78.0,68.0,76.0,67.0,73,43,25,78,80.0,85,28,27,25,11,1,1,0,0
22.0,152.4,83.9,80,1,1,2,4,2,73,74,55.0,72.0,67,84.0,76,66,56.0,81.0,78.0,84.0,79.0,78.0,78.0,71.0,76.0,69.0,74,44,30,77,75.0,59,47,31,26,12,1,0,0,0
23.0,187.96,78.9,80,1,2,3,1,2,15,12,55.0,72.0,13,84.0,30,17,56.0,81.0,77.0,78.0,77.0,72.0,76.0,73.0,76.0,74.0,17,29,15,11,68.0,27,12,18,14,11,0,0,0,1
22.0,187.96,78.9,80,1,1,3,2,1,33,31,57.0,72.0,24,77.0,30,34,56.0,80.0,72.0,75.0,70.0,70.0,73.0,73.0,77.0,74.0,34,82,80,27,68.0,48,82,82,76,6,0,0,1,0
23.0,185.42,78.9,80,1,2,3,4,1,59,83,59.0,76.0,79,77.0,69,33,58.0,80.0,69.0,68.0,70.0,70.0,72.0,73.0,77.0,71.0,60,76,55,84,68.0,80,28,40,35,12,1,0,0,0
27.0,154.94,78.0,80,0,1,3,3,0,81,78,69.0,75.0,64,77.0,69,71,71.0,78.0,72.0,75.0,77.0,72.0,72.0,71.0,77.0,71.0,79,42,29,80,73.0,52,50,32,30,12,1,1,0,0
23.0,152.4,74.8,80,1,1,4,2,2,75,58,73.0,77.0,58,77.0,48,73,71.0,78.0,77.0,78.0,78.0,74.0,73.0,71.0,78.0,71.0,64,81,79,54,73.0,61,80,81,77,7,0,1,0,0
23.0,152.4,71.2,80,0,1,4,4,0,82,51,69.0,78.0,47,77.0,83,52,71.0,80.0,78.0,80.0,78.0,77.0,72.0,71.0,78.0,68.0,53,69,77,72,73.0,61,70,77,81,7,1,1,1,0
23.0,154.94,71.2,80,1,1,5,4,1,69,79,59.0,78.0,64,80.0,71,65,71.0,80.0,78.0,80.0,78.0,77.0,72.0,71.0,79.0,68.0,64,82,35,79,73.0,69,46,44,36,7,1,1,0,0
22.0,175.26,69.9,80,1,1,3,3,0,81,45,59.0,78.0,48,80.0,69,30,71.0,80.0,79.0,80.0,78.0,79.0,61.0,71.0,79.0,65.0,59,63,75,68,75.0,62,83,79,80,12,0,0,1,0
22.0,154.94,71.2,80,1,1,4,4,0,79,74,69.0,78.0,66,80.0,69,82,77.0,80.0,80.0,79.0,78.0,79.0,77.0,63.0,78.0,65.0,73,49,68,76,79.0,73,60,65,56,12,1,1,0,0
22.0,175.26,76.2,80,1,1,4,4,0,68,72,59.0,83.0,68,80.0,78,59,77.0,80.0,79.0,77.0,78.0,79.0,77.0,63.0,78.0,65.0,67,69,66,73,79.0,63,64,64,63,12,1,1,0,0
22.0,154.94,76.2,80,1,1,3,4,1,67,59,59.0,83.0,59,80.0,67,63,78.0,80.0,75.0,76.0,75.0,73.0,77.0,61.0,78.0,65.0,70,81,73,70,83.0,60,66,73,69,12,0,1,0,0
22.0,185.42,76.2,80,1,1,3,4,1,56,85,59.0,83.0,76,76.0,68,53,78.0,79.0,72.0,74.0,72.0,72.0,79.0,63.0,78.0,78.0,76,65,21,83,79.0,67,35,20,23,7,1,0,0,0
27.0,152.4,83.9,81,1,2,3,4,1,86,80,75.0,78.0,68,76.0,86,77,77.0,79.0,68.0,69.0,55.0,53.0,79.0,65.0,77.0,78.0,76,53,35,81,72.0,75,41,47,39,12,1,1,0,0
27.0,187.96,83.9,81,0,3,2,2,1,79,52,80.0,78.0,61,76.0,82,79,74.0,79.0,68.0,69.0,55.0,53.0,74.0,66.0,77.0,77.0,74,72,82,58,71.0,72,86,84,82,12,0,0,1,0
28.0,193.04,77.1,80,1,2,2,2,0,54,36,80.0,78.0,50,76.0,63,22,75.0,77.0,68.0,72.0,55.0,50.0,74.0,66.0,77.0,77.0,48,75,83,51,71.0,42,80,84,78,11,0,0,1,0
27.0,175.26,77.1,80,1,2,3,3,1,83,54,75.0,78.0,47,76.0,69,30,75.0,77.0,68.0,74.0,55.0,50.0,78.0,69.0,77.0,77.0,58,86,79,72,71.0,64,75,81,82,11,0,0,1,0
26.0,187.96,77.1,80,1,2,3,2,0,52,49,77.0,77.0,49,76.0,42,53,74.0,79.0,65.0,72.0,55.0,50.0,71.0,76.0,77.0,74.0,66,81,83,61,71.0,50,80,82,82,12,0,1,0,0
26.0,175.26,77.1,80,1,2,4,4,2,78,69,75.0,77.0,58,65.0,73,60,72.0,74.0,76.0,78.0,72.0,63.0,78.0,78.0,77.0,74.0,76,77,72,79,71.0,69,67,70,66,12,1,1,0,0
27.0,182.88,78.9,80,1,1,4,1,1,23,11,75.0,75.0,15,76.0,23,12,68.0,79.0,76.0,83.0,72.0,63.0,80.0,76.0,77.0,77.0,18,36,23,10,73.0,25,10,20,17,5,0,0,0,1
27.0,182.88,78.9,80,1,3,3,5,1,57,80,65.0,75.0,81,81.0,80,67,60.0,80.0,76.0,83.0,72.0,63.0,80.0,78.0,76.0,77.0,75,77,33,80,73.0,76,44,23,19,11,1,0,0,0
27.0,152.4,78.9,80,1,2,4,4,2,62,78,47.0,75.0,75,82.0,77,60,60.0,81.0,76.0,80.0,72.0,63.0,80.0,78.0,75.0,77.0,65,50,16,81,73.0,74,26,24,22,7,1,0,0,0
27.0,182.88,76.2,80,1,3,3,2,0,65,41,59.0,75.0,36,82.0,44,35,68.0,81.0,79.0,83.0,79.0,78.0,80.0,72.0,75.0,77.0,22,83,81,43,74.0,51,85,79,83,10,0,0,1,0
29.0,152.4,76.2,80,1,1,5,3,1,79,79,65.0,77.0,75,81.0,85,81,67.0,80.0,84.0,80.0,79.0,79.0,79.0,66.0,75.0,75.0,79,63,45,78,73.0,65,73,58,55,12,1,1,0,0
29.0,152.4,76.2,80,1,2,4,4,0,78,74,59.0,77.0,75,81.0,81,72,70.0,80.0,79.0,80.0,78.0,78.0,75.0,72.0,74.0,74.0,71,48,33,74,71.0,56,55,30,26,12,1,1,0,0
29.0,152.4,78.0,80,0,1,2,4,2,80,60,59.0,77.0,55,66.0,65,50,70.0,74.0,79.0,77.0,78.0,78.0,75.0,66.0,73.0,73.0,73,63,79,82,71.0,51,77,74,75,7,0,0,1,0
27.0,182.88,78.0,80,1,1,3,2,0,78,41,59.0,77.0,49,65.0,67,49,67.0,70.0,75.0,76.0,77.0,72.0,68.0,72.0,73.0,74.0,49,69,84,67,68.0,35,79,82,84,6,0,0,1,0
27.0,195.58,82.1,80,1,2,3,1,0,13,15,59.0,77.0,11,65.0,11,11,67.0,70.0,67.0,68.0,72.0,65.0,68.0,77.0,72.0,75.0,12,33,26,13,67.0,16,12,15,12,10,0,0,0,1
26.0,182.88,86.2,80,1,2,2,2,1,56,37,59.0,68.0,54,65.0,38,26,62.0,70.0,62.0,68.0,55.0,50.0,52.0,77.0,69.0,79.0,13,88,81,45,54.0,46,77,80,82,7,0,0,1,0
26.0,187.96,86.2,80,1,2,3,2,1,67,52,75.0,68.0,51,58.0,60,74,37.0,64.0,58.0,55.0,52.0,48.0,29.0,76.0,69.0,79.0,72,91,81,53,48.0,70,82,81,83,12,0,1,1,0
26.0,195.58,84.8,80,1,2,3,1,1,11,16,15.0,40.0,12,58.0,12,14,62.0,64.0,62.0,65.0,55.0,50.0,68.0,76.0,42.0,79.0,13,40,27,16,54.0,42,23,13,11,12,0,0,0,1
33.0,185.42,84.8,80,1,2,3,1,1,11,10,75.0,68.0,18,58.0,14,11,35.0,64.0,58.0,55.0,54.0,49.0,29.0,74.0,72.0,78.0,13,22,25,10,67.0,20,25,10,13,12,0,0,0,1
34.0,175.26,83.0,80,1,4,4,3,2,73,80,66.0,72.0,83,58.0,84,83,35.0,70.0,58.0,55.0,55.0,50.0,29.0,74.0,74.0,75.0,80,81,56,80,68.0,81,57,55,40,12,1,0,0,0
34.0,187.96,83.0,80,1,2,2,1,1,11,11,63.0,72.0,13,58.0,16,12,70.0,70.0,65.0,62.0,66.0,77.0,76.0,74.0,62.0,74.0,16,22,11,10,68.0,11,15,14,14,12,0,0,0,1
34.0,175.26,73.0,80,1,2,4,4,1,66,85,63.0,72.0,74,58.0,78,73,75.0,78.0,69.0,62.0,72.0,78.0,77.0,74.0,62.0,72.0,75,61,52,82,72.0,82,35,58,34,7,1,0,0,0
34.0,175.26,73.0,80,1,4,3,2,1,63,42,63.0,77.0,51,73.0,63,50,70.0,78.0,69.0,61.0,72.0,78.0,76.0,70.0,74.0,66.0,55,88,85,51,68.0,60,78,81,82,7,0,1,1,0
34.0,175.26,72.1,80,1,2,4,4,0,78,78,63.0,77.0,83,73.0,79,77,70.0,78.0,69.0,62.0,74.0,78.0,76.0,70.0,76.0,72.0,74,66,45,82,72.0,72,43,42,31,7,1,0,0,0
34.0,195.58,71.2,80,1,3,3,1,0,11,12,63.0,77.0,14,73.0,10,11,74.0,78.0,69.0,62.0,74.0,76.0,71.0,70.0,76.0,66.0,11,36,16,11,72.0,21,16,13,14,12,0,0,0,1
34.0,154.94,71.2,80,1,3,3,3,0,81,54,63.0,77.0,49,73.0,80,59,66.0,78.0,67.0,61.0,74.0,63.0,68.0,68.0,71.0,66.0,53,78,76,68,72.0,66,75,81,80,12,0,0,1,0
34.0,175.26,78.0,80,1,2,3,3,1,66,61,63.0,73.0,60,73.0,62,54,66.0,78.0,67.0,65.0,66.0,59.0,68.0,68.0,67.0,72.0,63,88,80,64,72.0,62,81,81,73,2,0,1,0,0
33.0,185.42,78.0,80,1,3,3,1,1,19,13,62.0,73.0,10,73.0,19,13,67.0,74.0,67.0,65.0,66.0,59.0,71.0,68.0,71.0,74.0,13,24,17,11,72.0,10,18,13,13,2,0,0,0,1
33.0,187.96,78.0,80,1,3,3,3,2,72,83,63.0,74.0,78,62.0,77,70,68.0,73.0,67.0,65.0,66.0,59.0,74.0,70.0,71.0,72.0,79,80,51,81,72.0,78,33,41,23,12,1,0,0,0
33.0,193.04,83.9,80,1,2,4,2,1,49,51,78.0,74.0,37,73.0,36,40,68.0,74.0,51.0,50.0,55.0,59.0,74.0,65.0,71.0,81.0,59,81,82,54,62.0,79,82,83,79,2,0,0,1,0
33.0,175.26,83.9,80,1,2,4,4,1,77,70,78.0,74.0,69,73.0,79,70,72.0,74.0,59.0,60.0,63.0,64.0,74.0,72.0,69.0,81.0,82,68,68,75,63.0,73,62,69,68,12,1,1,0,0
33.0,187.96,79.8,80,0,3,4,2,1,58,47,78.0,74.0,44,73.0,51,55,76.0,74.0,55.0,52.0,63.0,72.0,72.0,67.0,69.0,78.0,53,74,79,41,63.0,57,80,82,80,7,0,0,1,0
33.0,154.94,76.2,80,1,2,3,2,1,65,55,71.0,78.0,44,74.0,59,51,76.0,77.0,59.0,60.0,72.0,72.0,72.0,67.0,69.0,71.0,61,77,83,58,77.0,68,77,84,82,12,0,0,1,0
